club;last_name;first_name;position;base_salary
CHI;Plotkin;Brian;M;30000
CHI;Robinson;Dasan;D;42500
CHV;Burling;Bobby;F-D;12900
CHV;Burpo;Preston;GK;52491.6
CHV;Cunliffe;John;F;30000
CLB;Grabavoy;Ned;M;45050.25
CLB;Gruenebaum;Andy;GK;17700
CLB;Hejduk;Frankie;D;150000
CLB;Hendrickson;Ezra;D-M;76650
COL;Coundoul;Bouna;GK;30000
COL;Sanneh;Tony;D;60000
COL;Thornton;Zach;GK;57600
DAL;Gbandi;Sandy;M;12900
DAL;Goodson;Clarence;D;48378.75
DAL;Hislop;Shaka;GK;220800
DAL;Sala;Dario;GK;110000
DAL;Saragosa;Marcelo;M;67008
DAL;Serioux;Adrian;D;108000
DAL;Thompson;Abe;F;30000
DAL;Toja;Juan Carlos;M;100008
DAL;Wagenfuhr;David;D;30870
DAL;Wagner;Blake;D;33000
DC;Arguez;Bryan;M-D;45000
DC;DeRoux;Stephen;M;12900
HOU;Clark;Ricardo;M;195000
HOU;Cochrane;Ryan;D;51149
HOU;Dalglish;Paul;F;96000
HOU;Ngwenya;Joseph;F;51148.13
LA;Beckham;David;M;5500000.08
LA;Buddle;Edson;F;140000
LA;Cannon;Joe;GK;192000
LA;Caso;Mike;M;12900
LA;Cronin;Steve;GK;34728.75
LA;Sesay;Israel;F;45000
NE;Franchino;Joey;D;90000
NY;Vide;Joe;M;17700
NY;Waterreus;Ronald;GK;200000
NY;Wolyniec;John;F;65625
Pool;Monsalve;David;GK;30000
Pool;Pardo;Boris;GK;17700
Pool;Reynolds;Samuel;GK;17700
Pool;Schoeni;Kenny;GK;17700
RSL;Beckerman;Kyle;M;120000
RSL;Besagno;Nikolas;M;75000
RSL;Brown;Kyle;F;17700
TFC;Attakora-Gyan;Nana;D;12900
TFC;Boyens;Andrew;D;30000
TFC;Pozniak;Chris;D;90000
TFC;Reda;Marco;D;100000
